Name,Area,Peri,APRatio,Circularity,PARatio,Centroid_1,Centroid_2,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,t_min
20-780min.tif,43734,744.64,58.731736140954,0.98283253328393,0.017026569716925,667.931403484703,662.748891023003,0.520966439371637,0.994496998362743,73.4576595087779,255.514419380708,218.101272579931,780
20-800min.tif,44141,747.972,59.0142411748033,0.983197553205222,0.0169450624136291,668.560453999683,663.084366008926,0.509582716545421,0.994390628519937,73.5954998436746,255.662010023056,219.977134331621,800
20-820min.tif,44636,752.835,59.2905483937383,0.981473178265217,0.0168660946321355,669.078927323237,663.038959584192,0.494927193160321,0.994297424930945,72.5163641069414,255.863392328152,222.328515362498,820
20-840min.tif,45127,756.102,59.6837463728439,0.983748438313769,0.0167549803886808,669.683714849203,661.968843486161,0.501844633808061,0.994490600965247,68.672918454648,257.832367842106,223.014112848946,840
20-860min.tif,45668,760.989,60.0113799279622,0.982848731770663,0.0166635061750022,669.836143470264,661.624441622142,0.513693502411885,0.994360615759793,70.3146303817319,260.472237125415,223.478346594647,860
20-880min.tif,46330,765.514,60.5214274330711,0.985390977425232,0.0165230736024174,670.990459745305,661.686660910857,0.499588696939586,0.994675597921766,69.8385097932139,261.012933800597,226.10577908569,880
20-900min.tif,46446,767.889,60.4853045166684,0.981781765033892,0.0165329414804289,789.628665547087,698.218188864488,0.541915637535814,0.994923205449521,70.3978029037511,265.386564451235,223.039597202677,900
20-920min.tif,48106,780.26,61.6538077051239,0.985009027325684,0.0162195983868956,790.550929198021,698.806967945786,0.502338179063818,0.995138702136902,69.3421274149138,266.222900430561,230.195285519701,920
20-940min.tif,48296,783.925,61.6079344325031,0.979711190935482,0.0162316755010767,790.212688421401,698.494492297499,0.51313281047541,0.993703962799885,68.7772189248712,267.736249635409,229.800491851788,940
20-960min.tif,46324,768.401,60.2862307571177,0.977903734806951,0.0165875356186858,788.763124946032,698.586261980831,0.550089945519839,0.994931271477663,72.0666036826652,265.846494769261,222.009846970615,960
20-980min.tif,47119,772.685,60.9808654238144,0.983731562372699,0.0163985865574397,790.208323606189,697.587172902651,0.528601256311032,0.994806291565502,67.8854389601236,265.915602269201,225.727845420406,980
20-1000min.tif,47479,775.919,61.1906655204989,0.983034938302477,0.0163423618863076,791.090608479538,697.56408096211,0.533428700162628,0.995033112582781,67.9304449283713,267.444478857935,226.216584360185,1000
20-1020min.tif,47864,781.039,61.2824711698135,0.978107691350019,0.0163178798261742,792.038337790406,696.75714524486,0.544289700737154,0.994493964138046,65.9037244341633,269.626256548597,226.188745332916,1020
20-1040min.tif,48583,786.455,61.7746724224527,0.979227636346125,0.016187864067678,792.889693925859,698.673486610543,0.531491070320714,0.994249345121153,70.0633150034116,270.346579281696,229.000826439381,1040
20-1060min.tif,49184,793.533,61.9810392258419,0.973804497262348,0.016133966330514,792.869510409889,696.786332953806,0.563677179718116,0.994279014292357,68.0831466174641,275.526114568497,227.583242544635,1060
20-1080min.tif,50121,796.28,62.9439393178279,0.985548139213312,0.0158871530895234,795.297460146446,697.135651722831,0.531966071688787,0.995017072977051,63.9999634594844,274.634841624263,232.551355459488,1080
20-1100min.tif,51321,806.502,63.6340641436723,0.983823534923858,0.0157148535687146,796.537655150913,697.95590499016,0.516439358424541,0.994978673904614,64.3157281196256,276.350134662269,236.645187540907,1100
20-1120min.tif,51774,810.926,63.845529678417,0.981749414684276,0.0156628037238769,797.30949897632,697.623343763279,0.523232365512995,0.994640078381649,63.7848073959913,278.237126484332,237.110912421901,1120
20-1140min.tif,53626,823.662,65.1068035189192,0.985781259781751,0.0153593779136986,798.211986722858,699.25771081192,0.491715000621904,0.994971890828803,64.6905312122205,280.11727893555,243.913857090834,1140
20-1160min.tif,52359,814.714,64.2667242737942,0.98366665990855,0.0155601520273496,797.782749861533,698.944727744991,0.517177392553272,0.994510712657651,68.842750296829,279.218873527115,238.977355264136,1160
20-1180min.tif,51443,808.51,63.6269186528305,0.981288843005888,0.015716618393173,794.45526116284,697.252162587718,0.523057126682429,0.994894308314155,67.8295136139697,277.420477139033,236.444813897113,1180
20-1200min.tif,70278,942.475,74.5674951590228,0.987640952016433,0.0134106690571729,780.016192834173,715.56965195367,0.445116416415517,0.995735275365194,48.6103623593852,316.22423166788,283.170169961096,1200
20-1220min.tif,67133,921.031,72.8889689923575,0.987733422170601,0.013719497117662,780.420076564432,712.688841553334,0.475052602811759,0.995536376308687,48.6729052287934,311.838590386649,274.404674994285,1220
20-1240min.tif,67954,927.151,73.2933470384004,0.986701444434607,0.0136438031609618,780.298319451394,712.068487506254,0.470639359683333,0.995531724754245,47.9745022994504,313.296237439733,276.429313526423,1240
20-1260min.tif,67033,921.064,72.7777874284523,0.986191683473944,0.0137404561932183,779.726597347575,711.944057404562,0.47826451597743,0.995662829558114,48.133943350769,311.836027268286,273.859337054899,1260
20-1280min.tif,66988,921.337,72.7073806869799,0.984947671002529,0.0137537618677972,780.577237714218,712.266659700245,0.494328913784475,0.995334462571692,50.5202688654219,313.341327508942,272.379764333947,1280
20-1300min.tif,67012,921.064,72.754987709866,0.985882730788656,0.0137447621321554,780.189876440041,711.815495732108,0.498771605060439,0.99535090976606,50.0958804978104,313.856125530802,272.029604772876,1300
