Name,Area,Peri,APRatio,PARatio,Centroid_1,Centroid_2,t_min,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,Circularity
6-1340min.tif,52599,817.446,64.3455347509193,0.0155410939371471,578.977870301717,783.704500085553,1340,0.300344134319389,0.994704892301292,-37.5180961156994,265.674781304319,253.408817873592,0.981606576348715
6-1360min.tif,52586,817.76,64.3049305419683,0.0155509070855361,577.744837028867,783.360247974746,1360,0.326481037207264,0.994139443436177,-26.8111407673605,266.663510490666,252.051350573677,0.980613357207077
6-1380min.tif,52857,817.902,64.6251017848104,0.0154738634428742,577.108859753675,781.135194959986,1380,0.289094218969793,0.994899111579581,-36.3936916608151,265.557828324508,254.218681399644,0.985325997833913
6-1400min.tif,52875,816.777,64.7361519729375,0.0154473191489362,577.806203309693,782.420255319149,1400,0.243088878952773,0.994863400316098,-36.6200559828309,263.735955523014,255.824936819379,0.988368225456229
6-1420min.tif,53548,822.508,65.1033181440181,0.0153602001942183,578.534548442519,782.912900575185,1420,0.228944702150215,0.994872175980975,-45.650783484836,265.08716312381,258.046296900568,0.987100965724475
6-1440min.tif,53500,822.01,65.0843663702388,0.0153646728971963,579.218691588785,782.192261682243,1440,0.267197921624266,0.994923102672345,-46.9079694467918,266.351134840981,256.667052732724,0.987406908623812
6-1460min.tif,55078,836.731,65.8252174235208,0.0151917462507716,578.765042303642,779.015832092669,1460,0.245909012965123,0.993201695068073,-68.9901616241822,269.476727222204,261.201882769878,0.981208286354974
6-1480min.tif,54815,832.258,65.8629896017821,0.0151830338411019,579.392702727356,779.834516099608,1480,0.316384036599977,0.994791477623317,-76.7305189270835,271.556744640306,257.607198785918,0.987008207643381
6-1500min.tif,55642,840.414,66.2078451810655,0.0151039502534057,578.422810107473,779.756371086589,1500,0.28667542480863,0.994832919132503,-78.0748833275846,272.362707609523,260.931036367424,0.982619046026359
6-1520min.tif,56284,842.994,66.7667860032219,0.0149775069291451,579.771729088196,779.22164380641,1520,0.256050332065022,0.995296198054819,-80.7375923861135,272.614044564619,263.526033102875,0.987904333209139
6-1540min.tif,56255,843.076,66.7258942254316,0.0149866856279442,577.71572304684,779.004497378011,1540,0.258059601958097,0.995452293318233,-74.4484591454065,272.610842623722,263.377240377647,0.987203969833398
